Message,Date
"bit research - appears DSG (7-speed) offered FWD models upcoming A4, AWD models continuing 8-speed. That's according Consumer Reports article. can't say I've driven FWD A4 - reason can't find Colorado - imagine DSG nice upgrade CVT.",September 2015
"2₵: Value Allure “highways” – well highways, roads streets – used something us looked forward embarking upon cars – even us hindsight piece-of-crap cars; e.g., first car – one mom dad’s two cars – early ‘60’s vintage VW beetle (the thing didn’t even gas gauge). Shortly got license pretty much resigned driving 36HP stick shift car fabric sunroof radio sort-of heater, dad traded ""up"" (?) Plymouth Valiant slant-6 engine “three tree” stick shift (and first gear synchronized). four-door “babe repellent” also radio, also equipped factory A/C – seemed odd otherwise stripped creature comforts vehicle. loved cars – knew pieces-of-crap, blocked thoughts since cars gave freedom, tunes (on AM) felt like unlimited mobility drive bucolic sleepy, little town (pop. 2,700 assuming everyone home) north Dayton, Ohio, big city (Dayton, you’re wondering still barely city opinion). Truth matter rarely needed drive 50 mile round trip Dayton, could regularly afford 50₵ worth Clark’s premium gas (Clark sold premium gas time, you’re wondering) required adventurous outing. Today, contrast, highways byways longer symbolize [much] freedom, rather often seen barriers freedom: “Well left job 5 o'clock, took fifteen minutes go three blocks, time stand line freeway looking like parking lot. Damn traffic jam, hate late, hurts motor go slow. Damn traffic jam, time get home supper'll cold, damn traffic jam.” James Taylor 16 year-old-self got behind wheel, darn near magical, car mechanical being, sure, somehow able anthropomorphize steed (really, 36HP VW Beetle steed, kidding) – became extension me, longer driving machine, driving art, cool hot. Crank single-speaker radio distorted back volume quarter turn carefully balance “tone control” pump bass piece-of-crap speaker could muster. Everything possible. Now, admit, much VW Beetle exactly babe magnet, well Valiant truly babe repellent, even though figured double clutch thing make certain didn’t “grind pound” every time shifted first-gear. Even so, Valiant still represented possibilities made promises (that virtually never kept, must admit). Still, everything possible (in cars). Sundays, dad always would say “Let’s go little ride”. we’d go: Mom, dad family car, ’63 Chrysler Newport push-button transmission, power steering power brakes front rear radio speakers. one aftermarket A/C even though dad bought brand new next not-as-little town Chrysler-Plymouth dealer. Ah, big V8 torsion-quiet ride, big whitewalls, bias-ply tires full wheel covers – chrome everywhere – bling! Someday mine thought. car would babe magnet, sure it. Today, us, probably us, lost sense possibility get behind wheel, Americans getting appliances, machines simply cannot anthropomorphized; we’re getting roads allow movement like pig python. fact, 16-year-old's street indication, future drivers aren’t even interested driving mom dad make telling “We’re going continue taxi service more”. Then, automobile gave us sense excitement, perhaps danger (benign danger, mostly, certainly thought baaaad dudes: ""Man, c'mon let's un-tuck shirts put masking tape word, 'root' root beer bottles"") – sense darn near outlaws, men (boys, really) without rules, barely code, constrain freedoms. Woo hoo, “We're back saddle again”. Today, we’re mostly left deteriorating highway infrastructure really dangerous, driving cars are, nothing else, certainly much less deadly mostly without gravitational pull. fact KIA (fill blank) Toyota (fill blank) quicker, faster, safer, almost pollution free (by comparison), comfortable power everything, possibly GPS probably AM, FM, Satellite Radio, plus CD, Bluetooth iPhone connectivity iPod function doesn’t forgive allure even “SE” guise appliances lack. mean, really, piece-of-crap VW Beetle allure many things pass cars today possess – combined. many us care either, glance even stare office window highway attest. cars go perhaps one fifty worth another second two gaze. short years, certainly less decade, cars driving 75% time, one gives damn. cars lack allure. We’re them. unlimited mass-transit ""tubes"" could hop whim, well hell, bother go another new Mazda Chevy Ford Dodge (fill blank)? Nothing see here, move along, you’ve got homes, let’s get ‘em. us entry level (or Premium class) luxury performance board know allure – FN’s trip Europe driving new BMW (his BMW, rental), that’s aspire to. We’re precipice. Again? Yep, we’re lose something we’ve always – sense cars extension ourselves, hand-in-glove, everything’s possible (when we're cars). Gone, too, romance “little ride” parents children. thrill (of next time get drive) gone (one hopes forever) many. romance, nay, sex-appeal sliding behind wheel new Chevy Caprice almost contemporary analogy except allow least $50,000 car purchase. really take $50,000 get allure? And, so, come this? father 6th grade math teacher, mom librarian, almost cars purchased “previously owned” (there 2 exceptions cars ever bought recall), yet “my” cars, piece-of-crap cars alluring, exciting, almost thrilling. contend necessary spend $50,000 alluring car. also contend car companies realize killing perhaps already killed future customers' interest products building alluring cars virtually every price point. [Frankly, KIA may one exceptions despite inclusion re: non-alluring comments above.] put keys Valiant?",September 2015
"Now, new 5er would actually buy- B5 BiTurbo Touring. friend got drive covering IAA Cars 2015 Frankfurt...",September 2015
Wow! nice wagon! Love it.,September 2015
"Nice write-up @markcincinnati. stepfather 17 year old, I've found interesting acquisition driver's license car teenagers days seems far less significant (or even desirable) days. used signify freedom ability spend time friends times seems chore ""kids days,"" simply ""interact"" friends comfort rooms via screen. And, fair, parents' point view, somewhat dependent live, traffic congestion road conditions create environment certainly makes uncomfortable sending teenagers ""cruising."" agree plenty alluring cars price levels. fact, think engaging vehicles non-luxury, compact segment. Hence, recent ownership Mazda3, replacing mid-size luxury car. Unfortunately, seems luxury makes started reserving sportier, engaging experience upper-end niche sport models. Whereas previous models 328i could provide engaging drive (and manual matter), seems step M3 get something dynamic. So, price levels? know - think there's something missing middle. Compacts previous Mazda3, Civic Si, WRX, BRZ, etc. certainly engaging. want combine refinement luxury trappings enjoy, step end spectrum. Hence, replacement Mazda3 S4.",September 2015
"took look, drive, look, latest greatest Mazda Miata lists number beginning 2. sure I'd want two seater (then again, kid 3 4 friends can't get once, maybe would less, er, distracting). But, point is, car seems ONE exceptions ""no alluring cars"" comments made above. Also, couple VW's seem sizzle them. thing is, seems lot folks (of ages) seem think market noteworthy cars MSRP gets breathtaking number. possible not? Perhaps we've come place differentiation either appreciated demanded market. thrill (could be) gone. go get S4 something else comparable well good -- overall folks today, upcoming, seem actually WANT live rooms parent's basements.. me, age 16, wanted go see world (within 25 mile radius least), without mom dad, car afforded ability. wife, attorney Fortune 1000 firm, attorney buddies even name cars -- 16, 17 18 year olds anymore? must admit, find refreshing know thrill alive well. wife says (about SQ5) "". . .every mile's smile."" oldie, goodie: ""They've paved paradise put parking lot.""",September 2015
"daughter 17 took ""my"" Volvo (which intended car got it), named it. first thing replaced VW think new name it. also wait get car, loves drive (the act, going someplace). Maybe throwback? pick college 8 hours away, zero expressed desire move back long term graduation! son also majorly hooked German iron getting Jetta. got 16 months left lease, already researching replacement (likely A3, unless gets better paying job springs S3!). could also genetics work? go car show every year since 7 months old.",September 2015
"friend mine married Ohio State trooper -- claims passing right many times contributing factor crashes speeding. Bet speed laws, however, quite rigorously enforced. that? fines speeding higher passing right infractions? Wait, wait, answer that, yet: speeding fines are, example, $100, passing right fines ought $250 -- would think word got infractions would sharply shrink. I'm one people thinks either take laws books routinely ignored infraction fines made proportionate potential bodily property damage infraction, ignored, suggests. And, then, course, enforce them. So, friend's trooper husband correct, passing right side really suicide speeding, less likely cause death destruction, ""align time (i.e., fine) crime"" speak? Full disclosure, little compunction driving 85 90 70 zone (with assured clear distance), but, noted, break hives nausea dragged kicking screaming passing right due moron certainly must ignoring repeated wink, wink, winking left turn signal ""the universal (and polite) signal please let pass."" OK, one ? pose -- took driver's ed high school, took course learn teach driver's ed college -- taught maintain 15' per 10MPH assured clear distance car front (on highway, crowded stop go streets of, say, Manhattan) yet, even attempt keep 90' car front state highway Interstate highway 60MPH, assured someone risk heaven earth, life limb squeeze car front essentially brake hard, thereby causing ripple effect dozens dozens miles thoroughfares long flat straight stretch highway say Cincinnati Columbus OH? one even heard pop-sci occurrence called Butterfly Effect?",September 2015
"blessed able spend five weeks Europe summer 1981; knocking around friend taught French-English school Deauville. toured Austria, Germany, Italy, Switzerland. Eight years later friend mine wrangled press passes Frankfurt Auto Show; brought wives us spent two ""Press Only"" days Frankfurt rode around Germany couple days. hope go back sometime sooner later. mom's side family came Diersburg. I'm one people relatives flew Luftwaffe well AAC...",September 2015
"I'll give chance move over.. but, I'm sitting fast lane 5 miles behind someone 10 MPH traffic flow. point, go around. 30 mph?",September 2015
"yeah, get idea making illegal pass right. would hope, however, state pass right stay right pass left laws, cop going pull left-lane camper instead right-lane passer. find passing right many times day.",September 2015
"Traffic flow = ""Natural Speed Limit."" Several studies show speed limit given highway 65 flow 80 - 85, flow remains virtually unchanged, speed limit raised 75 80 even. flow traffic like ebb flow (rise fall) stock market really mind own. Efforts enforce (and seriously fine) lane protocols would far increase safety many highways ""speed traps"" ever do. folks drive 110MPH speed limit 65 80 -- change. natural speed 85, ""NORMAL"" range 80 - 90MPH. Go figure. Me, pass right, sincere polite attempts get Left-Lane-Bandit move over, I'm crazy, know, physical symptoms arise pass right -- seems like breaking societal covenant restricting preventing us, mostly, ""stupid attacks."" Thankfully, can't recall someone driving 30MPH 70 zone left lane, would think would probably use voice command cell phone call 911 report dangerous situation, would pass right get hell outta Dodge!",September 2015
"Mark car US spec car, nav English, set Kilometers work signs.. Everything English except distance. I'm getting know far meter is... adventure today, went Salzburg Lake Hallstatt, Ljubiana, Slovenia. Lets say trip would take roughly 6.5 hours total, took 12... I'm damn tired write out, I'll post morning, currently 11:23pm I'm pooped..",September 2015
"actually found previous generation A3 GTI differ greatly. However, GTI continually making many improvements, find 2015 GTI finally snuff. course, since they've caught VW GTI A3, longer offer 5-door A3 (although think that's changing A3 E-Tron's).",September 2015
"fact traffic enforcement concentrates speeding tickets (which lead virtually danger accidents), routinely completely ignores left lane passing laws one biggest crimes past century. Police absolutely ticket driver causing problem (the left lane impeder) rather symptoms (people passing right). one ever accused highway patrol using logic common sense though.",September 2015
let science get way good politics government funding...,September 2015
@flightnurse - excellent pictures play play ED journey! Keep 'em coming!,September 2015
"think people really know moved another land time, maybe habit. driving treat, people really know drive, drive faster posted speed limit even ""B"" roads, safe drivers. see texting, talking Cellphone, putting make driving, plus ""B"" roads bike place.. amazing see many bike share road. Now, bikes allowed ""A"" roads. ""A"" roads would like major highway, ""B"" roads back roads. people focused driving, came Solvenia, known, roads excellent condition, smooth silk. Italy, A2 Autostrada fast smooth, car passed 1200 mile point open up. 135mph rock steady. later time cappuccino.. ciao bella",September 2015
"1045pm great day, staying Erbusco Italy, 20 miles east Bergamo, surname from, going meet cousins never meet before.. staying place called L'Alberete hotel right middle wine country, views breathtaking. catch driving yesterday, left Salzburg go Lake Hallstatt, place, tourist love it. also home one biggest salt mines Austria. Drive 2 hours, nothing really report, ate lunch hung around left, 2pm. gets weird, put info Nav system get us Ljubljana, Solvenia told take toll road highway. big mistake. Nav system said 200 KM away, said would arrive 6pm, two hours drive noticed time arrive keep getting longer, went back nav system saw chosen route ""B"" roads.. fixed far buried ALPS matter, saw great places, came upon accident. sitting 30 minutes, one fireman came told us wait 2-3 hours cleared turn around take ""detour"", asked detour answer question, mind Nav gave us alternate routes go forward 20km took effect (that going work.) turned around followed people lost, spoke German. got gas station asked someone there, gave us direction found detour,once got half way detour turn Nav back found us route get moving. route, routed us ALPS, hit highest point 1765 meters (close 6K ft) finally got Slovenia, arrived hotel 815pm, 2 hours later wanted.. Ljubljana wonderful city, hit town 845 dinner, supised many people walking about, river splints city town. Lots history want go back. modern city. Salzburg large elect bus network, see mess place. Austria, like German lot lakes, one them. meet daughter father riding bikes Munich Lake Halstatt holiday.. Hatchback Wagons place Germany Austria, one popular models around Europe, would day 90% diesels saw many 118d 120d's. BMW also makes 3 door hatch, also A3 5 door (the one get) well A1 popular, oil burners. First real photos car bright sunlight blue look amazing.. 3 series mid-life cycle 2016, GT 4 series get one, however, GT 4 series received updates 3 series gets. First Rims, grey tone less silver, also middle consul AC controls different lastly, rear exhaust black silver photo shows rear exhaust. next two Lake Hallstatt, truly amazing place. Last shot town detoured through, got love iPhones GPS, idea name town, take photo phone says GPS coordinates stamp photo name later on. name town Bad Aussee, really charming. BTW think town gets many cars...",September 2015
Wow!,September 2015
Excellent photos. see son's GT one larger cars journey.,September 2015
FN....double WOW!!!!!!,September 2015
"Congrats, Nurse. dark blue, too. Mine older version (Deep Sea) rather Imperial (I think), quite similar. One word caution - car always looks fantastic washed detailed, absolute dust magnet. blue show every speckle dust. learned live it.",September 2015
Q50S silver....looks clean long time...can't see dust!,September 2015
"Dino thanks, yes Imperial Blue, wanted Mediterranean blue get color would 4 week delay $1930 bucks.. 320 Jet Black know dirty get, thanks warning..",September 2015
@flightnurse - car looks sensational Imperial Blue. like wheels too. guys trade Rick's Genesis? get car re-delivered?,September 2015
". . . Maybe old fashioned thinking. seems me, going market car choice ten standard (non-custom) colors, price include cost paint. customer requests ""non-standard"" custom color, well, whatever traffic allow govern price. I've taken tour Audi factory Germany (6 times), proud part tour get see paint booth. display near paint facility entire spectrum available colors displayed somewhat large paint chips (for workers customers? see). dozens Audi colors apparently able specified -- would call non-custom. understand Pearl Swirl Pink probably color chosen often, ditto fantastic purple swirl colors -- but, assume fact ""on wall"" means factory make one-off paint blend customer (perhaps Bentley this, would imagine Audi would $1,000, words.) We're two (black gloss white gloss) standard colors days -- literally every standard color costs extra. Audi Exclusive line (should one venture paint pallet) costs even top that. irks charged something question. Silver custom color, hell, even purple infused black Audi calls Panther black justifies $1,000+ optional add on. Pull one. know, know, everyone seems get away -- assume paint colors cost fabricate others, companies bury cost base price let customer pick want. especially annoying since folks order cars, therefore say. Rare car lot gloss black -- ones lot pearl black panther black oolong black whatever name du jour is. anything 10 feet away, look black shiny. Even Ibis White (a free color) looks little, any, different metallic white offered -- beyond 10 feet away. issue paying full-on leather interior (no alcantara, is) S4, would miffed leather standard yet RED leather $1,000 upcharge. God help wanted leather non-standard color. I'd gladly pay heated steering wheel heated rear seats -- options available. 'cmon, black white paint pay up? Luckily fine white. Now, wife, hand, rolls says, $1,075 color OK. I've watched cars painted, mostly done robots -- really cost much extra get one silver? Roll arm bend over!",September 2015
"Entry level lux car sales August: 3series 10,163 +24% ES 7,286 -1.6% C-Class 7,154 +38.9% 4,537 -11.3% TLX 4,353 +97.7% Q50 3,839 +44.6% S60 2,730 -13.1% MKZ 2,571 -9.5% A4 2,541 -21.4% ATS 2,449 -12.7%",September 2015
"smaller entry-level sales: A3 3,188 +31.2% CLA 2,622 -3.7% ILX 1,660 -4.1% CT 1,504 -28.7% Regal 1,450 -23.2% 1/2series 1,024 +55.9%",September 2015
"tight race top 3 luxury far year 1. BMW 223,348 2. Lexus 222,151 3. MB 220,870",September 2015
@markcincinnati - agree you. can. second time 4 years specifically told Porsche dealer refuses pay $800 extra metallic paint. 2011 Cayenne White. 2016 Cayenne White.,September 2015
"marketing revenue maximization. Show lower base price, make sure everything upcharge. BMW decades, Audi (at least US) long getting more. reason get certain cell phone lower price base model 16Gb pretty minimal. course upcharge 32 64Mb way proportion actual cost changes manufacturer. Instant profit!",September 2015
"Yes Genesis trade in, BMW allow us keep re-delivery.",September 2015
"BMW call Individual colors exterior Interior leather colors, well Options, choose Individual color car gets painted different facility, added price process. Now, 3 GT built factory 3 sedan, touring, 4 coupe grand coupe. GT get painted mediterranean blue, body would parts would taken assembly line, shipped 3 series built, painted send back original factory completion. BMWNA allow Individual options 3 series US, available BMWAG customers. took BMW factory tour time watch 3 series sedans wagons built, interesting watch.",September 2015
"trip Slovenia Erbusco Italy straight shot Autostrata, wanted get resort staying at, exceeded expectation, nestled foothills wine country northern Italy, resort surrounded grape vineyards, perfect place relax. arrived, drove around area take sights. Yesterday went Lake Como, lake Como shaped like upside Y, one beautiful area's Italy, left resort gloomy overcast, trip got hit heavy downpour cleaned windshield bugs! stopped Varenna lunch, took Ferry Bellagio (yes, hotel Vegas named city.) drove home, rain stopped still gloomy. matter area still beautiful. Hotel Varenna, water. Waiting Ferry arrive, Bently's owner saw plates asked from, told stated jealous North Americans ED. lake Lastly got back resort, Infiniti Q50 2.2l turbo-diesel Oh yeah start adventure, got ticket going wrong going road, damn GPS told go, see sign saying One Way... 27,50 euro fine... Monaco, Nice Marseille (staying Marseille.) Ciao",September 2015
"live work, Germany; live live live, Italy. wife's family (from Columbus, Ohio) apartment Venice (and gracious give us keys whenever go), ALWAYS Venice. And, love Venice, but, me, Venice good 3-days gets last nerve, place crowded and, possible, keeps getting commercial. short train ride Venice, however, Verona -- city (well, town) certainly [German] tourists, retains walkability without pain, and, money better restaurants, far, widely available Venice. ""oldest restaurant Italy, Europe? World?"" Verona -- called 12 Apostles, food bests even Tantris (Munich's best, think). Apostles built right top original Roman road, tip manager, he'll take basement plexiglass floor allowing walk Roman road, less. http://www.12apostoli.com/en/ Hmm, I'm seeing pattern -- live eat! FN -- reading stories viewing pics been, past days, best parts day. Gratzie!",September 2015
"Circle, GT partners car, photo Welt, I'm Younger one, (by 9 yrs).",September 2015
"drove Erbusco Marseilles France yesterday, decided superslab get fast, well 8 hour fast.. impressions Italian drivers, reckless hear about, follow German Austrian driving rules, 1) use Right lane pass, 2) use left turn signal want move over, 3) yes, crazy. motoring A5 autostrata come slower traffic slow down, barreling us VW passat wagon (they big Italy) yes, TDI.. VW driving flashing lights, turn signal on, looks pissed move over, clear traffic people move (this whole time VW driver inch's bumper) nail gas (we 2200km car) wham, talk off. VW growing smaller smaller mirror. Top 135mph, reach slower traffic, VW barreling thing, flashing lights, turn signal, giving Italian salute, sure good one bad one. Again, traffic opens up, people move up, take off, VW gets smaller smaller mirror. Again, top 135, reach slower traffic, VW driver flashing lights turn signal, time clear traffic, get front slower traffic pulled right land (this A5 3 lane's direction) VW pulled up, quite funny, tell floored moving fast, nail get front, pull away. slow speed limit lowered 110 kph. VW owner catch's passes me.. finally got wanted. interesting matter country barrel warp drive get stuck bumper like going make car front go faster.. France say France, think Germans aire attitude, need come France. attitude is, french... Merging traffic, pull front day light car front, care cars, well french don't. stopped Monaco, tourist thing, stopped front f Casino, got photo car, TALK CROWDED!!!!!!!!!!!!!! cars, WOW, Cars, got one photo Lambo, lots make too. streets narrow REALLY narrow.. Lots construction going GPS updated this, took little longer get Casino, got there. Marseilles say Marseilles, know much city except port city. old city, shows, come toll road, come slums, GPS worked great, streets went down, REALLY narrow,dirty, stinky. Insane word Rick used lot.... thoughts Marseilles, lots immigrants, usually north Africa, lots different cultures, Christians, Muslims on. seen women Burka's walking Europe, native people Marseilles happy immigrants. diverse city, food says all, later. photos trip France.. Italy rest stop's nothing like US, rest stop gas, food places eat food outside, SUPERCLEAN... next couple photos one place stopped get gas something munch on. stopped French version roadside gas/convenience store big difference, placed looked like shutdown, hardly drinks coolers, bathrooms look disgusting (this real reason stopped) see yourself. far cry ones Italy looked like, car's Europe, seen American cars here, photo one good laugh at. Monaco supper clean, clean fact. Monaco country, part France, Principality, license plates say, Principality Monaco them.. know waiting Lambo photo, is.. Traffic lights interesting here, stop behind crosswalks see traffic lights, French French fix.... GPS, works well, really times wonder, left Monaco, put GPS hotel address said, faster route, even toll roads, well..... 60 km two lane country roads, finally back toll roads.. tries.. I'll end installment photo taken Balcony looking harbor looking monument roughly 500 yrs old, night photo..",September 2015
Thank Mark...,September 2015
"people view comment people driving faster safer time blasphemy myth believers ""speed kills.""",September 2015
"@flightnurse, love Europe posts pics. rest stop Italy looked fantastic - sure see anything like here. French restroom surprised me. guess lazy employees countries. Keep 'em coming!",September 2015
"Curious FN since picture tool booth. kind transponder, need change right currencies? bills manned booth? I'm used EZ pass now, function without it.",September 2015
"two ""rest stops"" like that. Might gotten bad day. far attitude French is, We've French that, seems apply.",September 2015
"Yes all. France transponder system call Liber-T works like EZ Pass. toll booths take cash multiple currencies including Euros, US Dollars, Swiss Francs, UK Pounds, et al well credit cards.",September 2015
"commented German, er, personalities followed observations French personalities. Granted, European travels entirely recreational, would say 2 countries ever noted attitude less gracious. France (several times) Switzerland Lucerne (come think person Lucerne heavy French accent.) German people always friendly, polite, courteous sometimes playful even. I've Oktoberfest 6 times, going beer tent, join large group people picnic table within minutes seems folks wanting know US, US sports trying teach us Americans German-only songs come every 15 minutes good ol' Rock Roll. gentleman father Munich Oktoberfest found wife lawyer, older man bought wife order peeled radishes (covered salt) one barrister another. great time. folks subways Munich, too, always willing help figure stop get closest destination. France, hand, went bistro, like see movies, Paris waiter gave picture dictionary next word ""surly"". Apparently since tipping serious US, waiter actually pissed thanked (in English) brought us wine, beer cheese saying (in heavily accented French) ""why can't people even TRY speak French?"" OK, well perhaps could say merci, asking ""how's weather"" saying ""I like chocolate ice cream"" think wanted embarrass run risk butchering communications (especially since menu given multi-lingual). wude! staff (5-star) hotel Paris totally gracious friendly, impression, several interactions locals, like us much -- maybe like me. went ahead gave American tip anyway, knows anything changed. Italians huggers both-cheek kissers (didn't happen Germany, friendlier French.) FN, clue age -- 63 -- started going Europe 20 years younger (and richer), done much money, realize time spend Hotel dark (meaning, 3-star hotels air conditioning work fine). got sense needed 5 star hotels (because, well, never know), found could see Europe much money (saving coin fine dining instead). Also, use cabs anymore, figure use trains subways -- long trips, splurge first class train travel distance 5 hours. Also became fan night trains full size beds (saves hotel bills too). point is, unless much much older, urge make trip one many, many take. Benelux fun couple trips -- Amsterdam, Brussles Luxembourg city, again, again. Anyway, taken me, least, great vicarious trip two. regret get Audi, there's always next time. Keep 'em coming. Ciao (baby).",September 2015
would return France war country- M1A2 least 500 rounds M830A1 ammunition. that's me.,September 2015
"buy ""pass"" ahead time, since machine french know use, toll booth, I'd pay cash, expensive toll Italy, 32 Euro",September 2015
"Mark, I'm 52, agree travels Europe, secert taking train take night one..",September 2015
"walking around Marseilles see interesting things, cars, enjoy today's photos.. Scooters way get around town, let tell let know too. random shot Yes, looking next winner Voice France Marseilles Ok americans, stopped Mikey D's get coke, interesting place, order take served table order Kiosk, McCafe separate area Miky D's, pastries macaroon's. car's saw, first Peugeot wagon, popular looker too. Another Peugeot hatchback Audi A2 surprise, Kia, called Ceep, good looking car. park want, French.. Mediterranean, sorry guys topple women beach... Alfa 147, another popular car Europe names car companies give cars, good laugh one. next couple photos interesting, ran wedding procession well do, license plates Monaco. AMG sound stock all.. Bride rode in, limo Chrysler 300 RR front end... random photos city walk back Hotel came upon glass cover, interesting, photo taking photo straight up, looking me. harbor Chrysler cars brought sold Lancia, 300 called Thema, big car here.. Thanks now, Beaune France.",September 2015
FN...loving youre report pics. Thanks!,September 2015
"French like Americans. even bother try speak French instead expecting everyone else speak English. Well guess - appreciate faulting attempt speak language. start ""embarrass"" speak English. called courtesy. would feel tourist came Cincinnati started speaking French without even attempt speak English? I'm guessing waiter. travel Quebec, limited French gets smile hearty English reply.",September 2015
"sensitivities run deep show surprising places. example, Belgium Flemish (Dutch) speekers French Wallons. Brussels French speaking enclave middle Flanders, locals feel ""invaded"" French speakers, government European Union officials. imagine Flemish appreciating that. considered polite (at least Flemish) want communicate French, ASK speak French. do, want asked. Similar thing goes post Soviet Union countries. working hard building national identities, often overcompensating. speak Russian, asked.",September 2015
Spoken like someone knows Ft. Knox (besides store gold). I've involved engine since '94.,September 2015
"I've never Europe, wife visited Italy 3 yrs. ago. interactions locals positive. She'd love go back. ""surly French"" - I've heard comment many Americans varied backgrounds who've visited France. opinion Americans like late father participated D-Day would speaking German now. late Aunt told surly sales person unpleasant interaction Paris. God Bless America!! FN, thank much going trouble posting travels pics. enjoyable enlightening.",September 2015
"thing - bailouts create resentments, especially consider France used superpower, cultural science center world. WW2 French language cultural elites scientists (most articles scientific breakthroughs published French journals). went away years, humiliating defeat (France put much longer resistance half sized Poland, attacked behind Sovients). Reminding helpful, kind like big kid high school good heart manners pulled school yard butt kicking every time sees you, visits house, loudly proclaims everybody hear much sacrificed grateful him. BTW, kid getting awards, accolades, used get, college scouts come see him, you, etc. get picture. clear, I'm trying diminish father's sacrifice, Americas role War, fact people Europe grateful it. I'm part world misfortune ""liberated' Red Army would trade French second. However, also need understand wounded pride, resulted irrational lashing people deserve it, close convenient. best way deal shrug get flustered. ignorance. Also, need remember substantial sacrifice made, USA also far greatest beneficiary new world order War casualties suffered even order magnitude devastation suffered Europeans. Average European sees America net beneficiary War unfair view global perspective (grant necessarily father's). American soldier came, fought gallantly, often died got wounded, came back country intact stronger ever. French, Polish, even English soldier stay ruined country, rebuild ground up, sometimes starving process, often family decimated. proportions remember, may find much easier get along, even French.",September 2015
"mean sound like ""Ugly American"". hear many comments Americans stripes rude boorish behavior French. Shame American treats French visitor rudely can't speak English. Also shame American visiting France feels entitled special treatment happened WW II. I'm asking common courtesy.",September 2015
"Agreed. excuse lack courtesy, regardless are. working service industry, way life.",September 2015
"maintain starts network size - big control maintain consistency, especially premium brand. simply fit current volumes, looks like favtor three. Also, seems bad dealers, GM's relationship appears dowright toxic.",September 2015
"think past, loyalty brand car company strong today. know dad GM man Ford man disdain Chrysler yet first car Plymouth told served well. Dad keen Chevys, ok Pontiac, Olds, Cadillac. reason Buick appeal him. Though odd Toyota, Datsun, Subaru bought secondary cars cars sisters drive college (early 80's), parents retiring 98 Aurora, stayed course GM products. currently CR-V.",September 2015
"think simply matter age. gotta reach far back find Cadillac fans, like dad father-in-law, buying cars pricerange golden years. people would NEVER consider BMW. BMW faithful, hand, largely car history dates back E30-E36 era, cars cemented fandom. Cadillac chasing younger crowd never previously gave 2nd look, BMW slowly alienating fans softer cars. pan out? We'll see.",September 2015
"effectively BMW aging fanbase. Caddy head start, ""age out"" kind stuck. least BMW still bringing younger buyers bottom end, even different type used have!",September 2015
"Apparently interested ""driving dynamics"" much used -- hand, we'd hard pressed days find virtually coming ""customer"" even consider manual transmission; sport suspensions, too, seem largely rearview mirror -- remember cars stock sport suspensions, sport seats time good many cars stock manual shift models, replete Premium pack, power assists, options day. Now, sticks offered strippies (often) part, cars -- noted -- getting squishy, less taught, less performance edge. Although, oddly, HP torque continue climb. gives gets (sort of). Infiniti sales rep remarked ""I know anyone would want paddle shifters."" What's that?",August 2015
"newer magnetic ride control suspension systems, seems logical ""sport"" suspension ""automatic"" along softer settings want smoother ride. like happened transmission arena.",August 2015
"Mark's comment GM's quality going hell 70's 80's paying price well taken. time starting career family money tight. could afford Chevys satisfied, '79 Chevette. broke 12 miles dealer's showroom day picked towed back. beginning problems. traded Mazda GLC several months later owned nothing Japanese cars since, 2 reliable Fords mix. Volvo S60, mentioned prior post Outback, 3rd Subaru. wish GM well would love ATS CTS, feel get better car less money elsewhere. crappy dealer experience others talked also gives pause.",August 2015
"So, arrived Munich today, picked Airport BMW 750Ld, nice car, great engine, Tri Turbo inline 6 diesel. makes something like 450lbs torque. interesting watch drive navigate highway. topped 150mph, I've read car, great driven it. Friday take delivery Ricks BMW. whole discussion interesting, GM needed make room ATS, meant CTS needed price higher before, GM needed take couple play likes Lexus Hyundai content lower price, slowly raise prices think CTS moving price trail improved. Now, two neighbors CTS, V6, stone reliable, one 2012, 2013. remember ATS cane couple people praising car, couple others pointed biggest issue CTS ATS simple, size, small segment in. Granted people like that, buying public want size. GM gets around increase size cars, next generation 3 5 series bigger better. again, GM playing catch up.",August 2015
"morning friend called asked take latest toy drive; said toy 2007 Mercedes-AMG E63 fitted Weistec M156 Power Package 1, meaning makes 441 hp 394lb-ft torque measured wheels. He's bit intimidated car wanted wring out. car truly call fast straight face. Stock would 0-60 4.2 seconds run quarter 12.6 seconds @115 mph. friend also likes drag racing wants run local 1/8-mile strip. He's car low eight second range think high sevens entirely possible. course, take personal road course test track car pretty much unflappable(the car sports Michelin PSS rubber). forgotten much fun AMGs vintage could be. Oh yeah, also fairly impressive burnout...",August 2015
